origin_zone_id,destination_zone_id,parent_origin_zone_id,parent_destination_zone_id,base_demand,distance_km
0,7600,0,76,1.576e-07,49.6383
0,7601,0,76,1.575e-07,47.4607
0,7700,0,77,2.30631e-05,45.3776
0,7701,0,77,2.30474e-05,43.3442
0,8000,0,80,3.03923e-05,34.8857
0,8001,0,80,3.03731e-05,33.6108
0,8100,0,81,3.70463e-05,32.5642
0,8101,0,81,3.69336e-05,31.6881
0,8200,0,82,2.80976e-05,31.0791
0,8201,0,82,2.7301e-05,30.67
0,8400,0,84,3.152e-07,65.045
0,8401,0,84,3.15e-07,62.6587
0,8500,0,85,4.0051e-06,60.329
0,8501,0,85,4.0026e-06,58.0162
0,8600,0,86,5.229e-07,55.7709
0,8601,0,86,5.225e-07,53.5509
0,8700,0,87,1.401e-07,51.4125
0,8701,0,87,1.4e-07,49.311
0,8800,0,88,2.66173e-05,47.3091
0,8801,0,88,2.66006e-05,45.3598
0,8900,0,89,9.078e-07,43.533
0,8901,0,89,9.078e-07,41.7793
0,9000,0,90,1.2729e-06,40.1765
0,9001,0,90,1.2729e-06,38.6726
0,9100,0,91,6.1887e-06,37.3529
0,9101,0,91,6.1855e-06,36.1619
0,9200,0,92,2.7317e-06,35.1907
0,9201,0,92,2.7302e-06,34.3783
0,9300,0,93,3.4244e-06,33.8172
0,9301,0,93,3.4229e-06,33.4381
0,9400,0,94,3.1997e-06,33.3299
0,9401,0,94,3.1975e-06,33.4128
0,9500,0,95,9.51e-08,66.5326
0,9501,0,95,9.5e-08,64.1997
0,9600,0,96,9.9562e-06,61.9277
0,9601,0,96,9.9505e-06,59.6748
0,9700,0,97,1.26229e-05,57.4939
0,9701,0,97,1.26006e-05,55.341
0,9900,0,99,5.9713e-05,49.3228
0,9901,0,99,5.95921e-05,47.4538
0,10000,0,100,6.552e-07,45.7102
0,10001,0,100,6.552e-07,44.0406
0,10100,0,101,1.0479e-06,42.5224
0,10101,0,101,1.0478e-06,41.1016
0,10200,0,102,5.52704e-05,39.8617
0,10201,0,102,5.45115e-05,38.7449
0,10300,0,103,3.2236e-06,37.8393
0,10301,0,103,3.1285e-06,37.0818
0,10400,0,104,5.1481e-06,36.5614
0,10401,0,104,5.1454e-06,36.2079
0,10700,0,107,4.8691e-06,59.2986
0,10701,0,107,4.8491e-06,57.2115
0,10800,0,108,2.30489e-05,55.2139
0,10801,0,108,2.30166e-05,53.2582
0,10900,0,109,0.0001091669,51.4091
0,10901,0,109,0.0001090565,49.6163
0,11000,0,110,4.978e-07,47.9506
0,11001,0,110,4.975e-07,46.3591
0,11100,0,111,6.702e-07,44.9186
0,11101,0,111,6.702e-07,43.5732
0,11200,0,112,0.0001386485,42.4048
0,11201,0,112,0.0001386048,41.3538
0,11400,0,114,6.3165e-05,39.3106
0,11401,0,114,6.31375e-05,38.9788
0,11500,0,115,1.2083e-06,38.8843
0,11501,0,115,1.2075e-06,38.9493
0,11600,0,116,3.75e-08,69.7497
0,11601,0,116,3.75e-08,67.5244
0,11700,0,117,1.81947e-05,57.2244
0,11701,0,117,1.81825e-05,55.3374
0,12000,0,120,0.0001362558,47.3574
0,12001,0,120,0.0001361658,46.0805
0,12200,0,122,0.0001073855,43.1866
0,12201,0,122,0.0001063314,42.5186
0,12400,0,124,1.2284e-06,41.6615
0,12401,0,124,1.2275e-06,41.7192
0,12500,0,125,6.491e-07,71.4683
0,12501,0,125,6.363e-07,69.2964
0,12800,0,128,4.258e-06,59.2981
0,12801,0,128,4.2399e-06,57.477
0,12900,0,129,0.0001027377,55.7663
0,12901,0,129,0.0001026564,54.1134
0,13000,0,130,0.000124483,52.5886
0,13001,0,130,0.0001243607,51.1367
0,13100,0,131,0.0003756743,49.8326
0,13101,0,131,0.0003753684,48.6181
0,13200,0,132,0.0007412538,47.5718
0,13201,0,132,0.0007407799,46.6319
0,13400,0,134,8.64017e-05,44.8199
0,13401,0,134,8.56061e-05,44.5235
0,13500,0,135,3.5e-08,73.2535
0,13501,0,135,3.5e-08,71.1343
0,13600,0,136,3.952e-07,69.0881
0,13601,0,136,3.95e-07,67.0686
0,13800,0,138,1.56175e-05,61.4287
0,13801,0,138,1.5593e-05,59.6705
0,14000,0,140,0.0003956817,54.9728
0,14001,0,140,0.0003953794,53.5831
0,14100,0,141,0.0005136399,52.3389
0,14101,0,141,0.0005132255,51.1813
0,14300,0,143,0.0002245787,48.5822
0,14301,0,143,0.0002244374,47.9838
0,14500,0,145,3.25e-08,75.1006
0,14501,0,145,3.25e-08,73.033
0,14700,0,147,4.0782e-06,67.1975
0,14701,0,147,4.0395e-06,65.3551
0,14800,0,148,3.51797e-05,63.6104
0,14801,0,148,3.5139e-05,61.912
0,14900,0,149,8.53819e-05,60.3251
0,14901,0,149,8.53306e-05,58.7959
0,15000,0,150,0.0003633446,57.3935
0,15001,0,150,0.0003631198,56.0613
0,15100,0,151,0.0003693093,54.8721
0,15101,0,151,0.0003690041,53.7665
0,15200,0,152,0.00015059,52.82
0,15201,0,152,0.0001504663,51.9698
0,15300,0,153,0.0005068457,51.2933
0,15301,0,153,0.0005065402,50.7242
0,15500,0,155,5.749e-07,77.0049
0,15501,0,155,5.705e-07,74.9881
0,15700,0,157,3.9241e-06,69.3132
0,15701,0,157,3.9135e-06,67.5265
0,15800,0,158,3.27606e-05,65.8383
0,15801,0,158,3.27265e-05,64.1966
0,15900,0,159,8.08814e-05,62.6665
0,15901,0,159,8.0818e-05,61.1934
0,16100,0,161,9.06907e-05,57.4287
0,16101,0,161,9.06153e-05,56.3707
0,16500,0,165,9.9062e-06,75.1059
0,16501,0,165,9.9005e-06,73.2467
0,16600,0,166,1.0769e-05,71.4755
0,16601,0,166,1.07333e-05,69.7421
0,16700,0,167,4.3202e-06,68.1077
0,16701,0,167,4.2977e-06,66.5198
0,16800,0,168,4.86691e-05,65.0431
0,16801,0,168,4.86387e-05,63.6229
0,16900,0,169,7.79002e-05,62.3267
0,16901,0,169,7.78372e-05,61.0975
0,17000,0,170,5.22927e-05,60.0056
0,17001,0,170,5.22425e-05,58.9914
0,17100,0,171,2.64094e-05,58.1273
0,17101,0,171,2.63683e-05,57.3509
0,17200,0,172,5.4808e-06,56.7358
0,17201,0,172,5.4729e-06,56.2168
0,17400,0,174,2.827e-07,77.2101
0,17401,0,174,2.825e-07,75.4008
0,17600,0,176,6.882e-06,70.4146
0,17601,0,176,6.8776e-06,68.8778
0,17700,0,177,1.55228e-05,67.4514
0,17701,0,177,1.55126e-05,66.0807
0,17800,0,178,3.08356e-05,64.8322
0,17801,0,178,3.08151e-05,63.6491
0,18000,0,180,1.41643e-05,60.7983
0,18001,0,180,1.41602e-05,60.054
0,18100,0,181,5.529e-07,79.357
0,18101,0,181,5.525e-07,77.5958
0,18200,0,182,6.6821e-06,75.9238
0,18201,0,182,6.6774e-06,74.2901
0,18300,0,183,7.9217e-06,72.7554
0,18301,0,183,7.9086e-06,71.267
0,18400,0,184,9.51e-08,69.888
0,18401,0,184,9.5e-08,68.5638
0,18500,0,185,6.711e-07,65.2108
0,18501,0,185,6.644e-07,64.2741
0,18600,0,186,2.201e-07,63.479
0,18601,0,186,2.2e-07,62.764
0,18700,0,187,2.4604e-06,81.5432
0,18701,0,187,2.4513e-06,79.8283
0,18800,0,188,2.333e-05,78.2027
0,18801,0,188,2.33157e-05,76.6156
0,18900,0,189,2.6867e-06,75.127
0,18901,0,189,2.6851e-06,73.6844
0,19500,0,195,3.75e-08,79.9516
0,19501,0,195,3.75e-08,78.5935
0,19600,0,196,1.926e-07,85.2233
0,19601,0,196,1.925e-07,83.7635
1,100,0,1,2.726e-05,2.7864
1,101,0,1,2.72417e-05,5.5712
1,200,0,2,1.16212e-05,14.2069
1,201,0,2,1.16209e-05,11.4838
1,300,0,3,2.42797e-05,8.8138
1,301,0,3,2.4279e-05,6.2253
1,400,0,4,0.0001142446,3.9502
1,401,0,4,0.0001141735,2.7759
1,500,0,5,0.0003614677,3.9496
1,501,0,5,0.000361254,6.2235
1,600,0,6,7.2177e-06,20.2837
1,601,0,6,7.2175e-06,17.6151
1,700,0,7,1.13363e-05,15.0057
1,701,0,7,1.1336e-05,12.4524
1,800,0,8,1.96012e-05,10.0491
1,801,0,8,1.96006e-05,7.8681
1,900,0,9,3.2457e-05,6.2346
1,901,0,9,3.24561e-05,5.5518
1,1100,0,11,3.1525e-06,26.4324
1,1101,0,11,3.1504e-06,23.798
1,1200,0,12,5.5082e-06,21.2199
1,1201,0,12,5.5081e-06,18.6813
1,1300,0,13,8.9496e-06,16.2472
1,1301,0,13,8.9494e-06,13.9178
1,1400,0,14,1.28034e-05,11.8206
1,1401,0,14,1.2803e-05,10.0246
1,1500,0,15,1.66196e-05,8.8065
1,1501,0,15,1.66192e-05,8.3277
1,1600,0,16,2.77426e-05,8.8009
1,1601,0,16,2.77237e-05,10.0141
1,1800,0,18,1.05251e-05,32.6132
1,1801,0,18,1.05178e-05,30.0018
1,1900,0,19,1.68607e-05,27.4425
1,1901,0,19,1.3544e-05,24.9119
1,2000,0,20,2.37288e-05,22.464
1,2001,0,20,2.37253e-05,20.0791
1,2100,0,21,7.3401e-06,17.8392
1,2101,0,21,7.3399e-06,15.7418
1,2300,0,23,1.20961e-05,11.4742
1,2301,0,23,1.20958e-05,11.1035
1,2400,0,24,0.0001726829,11.4663
1,2401,0,24,0.000169342,12.4152
1,2500,0,25,8.4152e-06,13.9057
1,2501,0,25,8.4091e-06,15.7182
1,2600,0,26,1.4974e-06,38.8118
1,2601,0,26,1.4966e-06,36.2166
1,2700,0,27,2.16415e-05,33.6699
1,2701,0,27,2.1449e-05,31.1443
1,2800,0,28,1.01169e-05,28.6885
1,2801,0,28,9.0466e-06,26.2748
1,3000,0,30,6.6878e-06,19.6968
1,3001,0,30,6.6877e-06,17.8146
1,3100,0,31,7.4951e-06,16.2338
1,3101,0,31,7.4949e-06,14.9654
1,3200,0,32,1.01342e-05,14.1837
1,3201,0,32,1.01339e-05,13.8793
1,3300,0,33,0.0014530772,14.1736
1,3301,0,33,0.0014522146,14.9459
1,3400,0,34,3.83003e-05,16.2073
1,3401,0,34,3.82739e-05,17.7819
1,3500,0,35,1.495e-06,39.9005
1,3501,0,35,1.494e-06,37.3785
1,3600,0,36,0.0002002976,34.9175
1,3601,0,36,0.0002001726,32.4863
1,3700,0,37,5.157e-06,30.1409
1,3701,0,37,5.1545e-06,27.8501
1,3800,0,38,0.0004748408,25.6862
1,3801,0,38,0.0004739847,23.6213
1,3900,0,39,5.7306e-06,21.7522
1,3901,0,39,5.7305e-06,20.0592
1,4000,0,40,7.1327e-06,18.6709
1,4001,0,40,7.1325e-06,17.574
1,4100,0,41,3.59056e-05,16.9149
1,4101,0,41,3.59003e-05,16.655
1,4200,0,42,7.94342e-05,16.9026
1,4201,0,42,7.93873e-05,17.5501
1,4300,0,43,3.20052e-05,18.6374
1,4301,0,43,3.19832e-05,20.0173
1,4400,0,44,2.1021e-05,41.1497
1,4401,0,44,2.07599e-05,38.7068
1,4500,0,45,0.0001128109,36.3364
1,4501,0,45,0.0001127381,34.004
1,4600,0,46,8.2327e-06,31.7715
1,4601,0,46,8.1118e-06,29.604
1,4700,0,47,0.0001957532,27.5787
1,4701,0,47,0.0001951702,25.6629
1,4800,0,48,5.2908e-06,23.9544
1,4801,0,48,5.2906e-06,22.4241
1,5000,0,50,5.40263e-05,19.6587
1,5001,0,50,5.39973e-05,19.4307
1,5100,0,51,5.57365e-05,19.6443
1,5101,0,51,5.5706e-05,20.1994
1,5200,0,52,7.46606e-05,42.5454
1,5201,0,52,7.44942e-05,40.1849
1,5300,0,53,1.95002e-05,37.9073
1,5301,0,53,1.94267e-05,35.6751
1,5400,0,54,2.1668e-06,33.5543
1,5401,0,54,2.1667e-06,31.5065
1,5500,0,55,2.4767e-06,29.6121
1,5501,0,55,2.4766e-06,27.833
1,5700,0,57,5.0859e-06,23.7707
1,5701,0,57,5.0857e-06,22.9109
1,5800,0,58,0.0001332983,22.4106
1,5801,0,58,0.0001332319,22.2064
1,6000,0,60,0.0001497623,44.0734
1,6001,0,60,0.0001496669,41.7969
1,6200,0,62,1.8869e-06,35.4663
1,6201,0,62,1.8868e-06,33.5325
1,6300,0,63,2.2994e-06,31.7593
1,6301,0,63,2.299e-06,30.104
1,6400,0,64,2.7643e-06,28.662
1,6401,0,64,2.7639e-06,27.3886
1,6500,0,65,3.0141e-06,26.3899
1,6501,0,65,3.0138e-06,25.6141
1,6600,0,66,2.40373e-05,25.1678
1,6601,0,66,2.40215e-05,24.9821
1,6900,0,69,5.34493e-05,45.7207
1,6901,0,69,5.34147e-05,43.528
1,7000,0,70,1.1998e-06,41.4347
1,7001,0,70,1.1994e-06,39.3974
1,7100,0,71,1.5595e-06,37.4879
1,7101,0,71,1.5595e-06,35.6609
1,7200,0,72,8.1387e-06,33.9987
1,7201,0,72,7.4611e-06,32.4545
1,7300,0,73,4.79768e-05,31.1215
1,7301,0,73,4.7651e-05,29.9493
1,7400,0,74,0.000515162,29.0387
1,7401,0,74,0.0005148662,28.3318
1,7600,0,76,1.575e-07,51.8624
1,7601,0,76,1.574e-07,49.6262
1,7700,0,77,2.30476e-05,47.4748
1,7701,0,77,2.30319e-05,45.3644
1,8000,0,80,3.03719e-05,36.3133
1,8001,0,80,3.03527e-05,34.8686
1,8100,0,81,3.70214e-05,33.6311
1,8101,0,81,3.69088e-05,32.546
1,8200,0,82,2.80787e-05,31.7097
1,8201,0,82,2.72826e-05,31.0601
1,8400,0,84,3.15e-07,67.4513
1,8401,0,84,3.148e-07,65.034
1,8500,0,85,4.0024e-06,62.6689
1,8501,0,85,3.9999e-06,60.3172
1,8600,0,86,5.225e-07,58.0273
1,8601,0,86,5.221e-07,55.7581
1,8700,0,87,1.4e-07,53.563
1,8701,0,87,1.399e-07,51.3986
1,8800,0,88,2.65994e-05,49.3242
1,8801,0,88,2.65827e-05,47.2941
1,8900,0,89,9.072e-07,45.3742
1,8901,0,89,9.072e-07,43.5167
1,9000,0,90,1.2721e-06,41.795
1,9001,0,90,1.2721e-06,40.1588
1,9100,0,91,6.1845e-06,38.6896
1,9101,0,91,6.1813e-06,37.3339
1,9200,0,92,2.7298e-06,36.1802
1,9201,0,92,2.7283e-06,35.1706
1,9300,0,93,3.4221e-06,34.3976
1,9301,0,93,3.4206e-06,33.7963
1,9400,0,94,3.1975e-06,33.4581
1,9401,0,94,3.1953e-06,33.3088
1,9500,0,95,9.5e-08,68.8868
1,9501,0,95,9.49e-08,66.52
1,9600,0,96,9.9495e-06,64.2093
1,9601,0,96,9.9438e-06,61.9142
1,9700,0,97,1.26144e-05,59.6851
1,9701,0,97,1.25921e-05,57.4794
1,9900,0,99,5.96728e-05,51.2587
1,9901,0,99,5.9552e-05,49.3059
1,10000,0,100,6.548e-07,47.4669
1,10001,0,100,6.548e-07,45.6919
1,10100,0,101,1.0472e-06,44.0547
1,10101,0,101,1.0471e-06,42.5029
1,10200,0,102,5.52332e-05,41.1168
1,10201,0,102,5.44748e-05,39.8409
1,10300,0,103,3.2214e-06,38.7611
1,10301,0,103,3.1264e-06,37.8174
1,10400,0,104,5.1446e-06,37.0988
1,10401,0,104,5.1419e-06,36.5388
1,10700,0,107,4.8659e-06,61.4253
1,10701,0,107,4.8459e-06,59.2822
1,10800,0,108,2.30334e-05,57.2215
1,10801,0,108,2.30011e-05,55.1964
1,10900,0,109,0.0001090935,53.269
1,10901,0,109,0.0001089831,51.3902
1,11000,0,110,4.975e-07,49.6279
1,11001,0,110,4.972e-07,47.9304
1,11100,0,111,6.698e-07,46.3716
1,11101,0,111,6.698e-07,44.8972
1,11200,0,112,0.0001385552,43.5865
1,11201,0,112,0.0001385115,42.3821
1,11400,0,114,6.31225e-05,39.8106
1,11401,0,114,6.3095e-05,39.2862
1,11500,0,115,1.2075e-06,38.9939
1,11501,0,115,1.2067e-06,38.8597
1,11600,0,116,3.75e-08,71.9984
1,11601,0,116,3.75e-08,69.7337
1,11700,0,117,1.81825e-05,59.1634
1,11701,0,117,1.81703e-05,57.2049
1,12000,0,120,0.0001361641,48.7374
1,12001,0,120,0.0001360742,47.3341
1,12200,0,122,0.0001073132,43.9959
1,12201,0,122,0.0001062599,43.161
1,12400,0,124,1.2275e-06,41.7635
1,12401,0,124,1.2266e-06,41.6351
1,12500,0,125,6.487e-07,73.6643
1,12501,0,125,6.359e-07,71.4506
1,12800,0,128,4.2551e-06,61.1711
1,12801,0,128,4.237e-06,59.2768
1,12900,0,129,0.0001026686,57.4847
1,12901,0,129,0.0001025873,55.7437
1,13000,0,130,0.0001243992,54.1216
1,13001,0,130,0.000124277,52.5646
1,13100,0,131,0.0003754215,51.1454
1,13101,0,131,0.0003751158,49.8073
1,13200,0,132,0.000740755,48.6273
1,13201,0,132,0.0007402814,47.5453
1,13400,0,134,8.63436e-05,45.2583
1,13401,0,134,8.55485e-05,44.792
1,13500,0,135,3.5e-08,75.3971
1,13501,0,135,3.5e-08,73.234
1,13600,0,136,3.95e-07,71.1392
1,13601,0,136,3.948e-07,69.0674
1,13800,0,138,1.5607e-05,63.2381
1,13801,0,138,1.55825e-05,61.4055
1,14000,0,140,0.0003954155,56.4406
1,14001,0,140,0.0003951134,54.947
1,14100,0,141,0.0005132943,53.5898
1,14101,0,141,0.0005128802,52.3117
1,14300,0,143,0.0002244276,49.302
1,14301,0,143,0.0002242864,48.553
1,14500,0,145,3.25e-08,77.1924
1,14501,0,145,3.25e-08,75.0792
1,14700,0,147,4.0755e-06,69.0799
1,14701,0,147,4.0368e-06,67.1737
1,14800,0,148,3.5156e-05,65.359
1,14801,0,148,3.51153e-05,63.5853
1,14900,0,149,8.53244e-05,61.9161
1,14901,0,149,8.52731e-05,60.2987
1,15000,0,150,0.0003631002,58.8002
1,15001,0,150,0.0003628754,57.3657
1,15100,0,151,0.0003690608,56.0659
1,15101,0,151,0.0003687558,54.8431
1,15200,0,152,0.0001504887,53.7714
1,15201,0,152,0.000150365,52.7898
1,15300,0,153,0.0005065047,51.9749
1,15301,0,153,0.0005061994,51.2623
1,15500,0,155,5.745e-07,79.0459
1,15501,0,155,5.701e-07,76.9818
1,15700,0,157,3.9215e-06,71.1391
1,15701,0,157,3.9109e-06,69.2875
1,15800,0,158,3.27385e-05,67.5285
1,15801,0,158,3.27045e-05,65.8112
1,15900,0,159,8.0827e-05,64.1988
1,15901,0,159,8.07636e-05,62.6381
1,16100,0,161,9.06296e-05,58.5697
1,16101,0,161,9.05544e-05,57.3978
1,16500,0,165,9.8995e-06,76.9952
1,16501,0,165,9.8938e-06,75.0796
1,16600,0,166,1.07617e-05,73.2468
1,16601,0,166,1.0726e-05,71.4479
1,16700,0,167,4.3173e-06,69.7423
1,16701,0,167,4.2948e-06,68.0787
1,16800,0,168,4.86363e-05,66.52
1,16801,0,168,4.86059e-05,65.0128
1,16900,0,169,7.78478e-05,63.6231
1,16901,0,169,7.77848e-05,62.2951
1,17000,0,170,5.22575e-05,61.0977
1,17001,0,170,5.22074e-05,59.9728
1,17100,0,171,2.63917e-05,58.9917
1,17101,0,171,2.63506e-05,58.0935
1,17200,0,172,5.4771e-06,57.3513
1,17201,0,172,5.4692e-06,56.7013
1,17400,0,174,2.825e-07,79.0485
1,17401,0,174,2.823e-07,77.1819
1,17600,0,176,6.8774e-06,71.9961
1,17601,0,176,6.873e-06,70.3837
1,17700,0,177,1.55124e-05,68.8759
1,17701,0,177,1.55022e-05,67.4192
1,17800,0,178,3.08149e-05,66.0787
1,17801,0,178,3.07944e-05,64.7988
1,18000,0,180,1.41548e-05,61.6244
1,18001,0,180,1.41507e-05,60.7627
1,18100,0,181,5.525e-07,81.146
1,18101,0,181,5.521e-07,79.3269
1,18200,0,182,6.6776e-06,77.5922
1,18201,0,182,6.6729e-06,75.8923
1,18300,0,183,7.9164e-06,74.2863
1,18301,0,183,7.9033e-06,72.7226
1,18400,0,184,9.5e-08,71.263
1,18401,0,184,9.49e-08,69.8539
1,18500,0,185,6.706e-07,66.2155
1,18501,0,185,6.639e-07,65.1743
1,18600,0,186,2.2e-07,64.2697
1,18601,0,186,2.199e-07,63.4416
1,18700,0,187,2.4587e-06,83.2845
1,18701,0,187,2.4496e-06,81.5112
1,18800,0,188,2.33143e-05,79.8227
1,18801,0,188,2.33e-05,78.1693
1,18900,0,189,2.6849e-06,76.6097
1,18901,0,189,2.6833e-06,75.0924
1,19500,0,195,3.75e-08,81.3446
1,19501,0,195,3.75e-08,79.9131
1,19600,0,196,1.925e-07,86.7096
1,19601,0,196,1.924e-07,85.1843
100,0,1,0,0.0002037143,5.5712
100,1,1,0,0.0002035772,2.7864
100,300,1,3,2.32606e-05,11.4833
100,301,1,3,2.326e-05,8.7989
100,400,1,4,9.31052e-05,6.2243
100,401,1,4,9.30472e-05,3.9149
100,500,1,5,0.0016733104,2.7735
100,501,1,5,0.0016723209,3.9125
100,600,1,6,7.11e-06,22.9683
100,601,1,6,7.1098e-06,20.2704
100,700,1,7,8.5405e-06,17.6137
100,701,1,7,8.5402e-06,14.9872
100,900,1,9,3.1661e-05,7.8646
100,901,1,9,3.16602e-05,6.1877
100,1000,1,10,0.0002764417,5.5469
100,1001,1,10,0.0002668154,6.1834
100,1300,1,13,7.1375e-06,18.6781
100,1301,1,13,7.1373e-06,16.2201
100,1400,1,14,1.31596e-05,13.9135
100,1401,1,14,1.31592e-05,11.7827
100,1500,1,15,2.59816e-05,10.0185
100,1501,1,15,2.59809e-05,8.7549
100,1800,1,18,4.6732e-06,35.2345
100,1801,1,18,4.6699e-06,32.5951
100,1900,1,19,1.09087e-05,29.9983
100,1901,1,19,8.7628e-06,27.4207
100,2100,1,21,7.6352e-06,20.0738
100,2101,1,21,7.6349e-06,17.8048
100,2200,1,22,9.3082e-06,15.735
100,2201,1,22,9.308e-06,13.8807
100,2300,1,23,2.16325e-05,12.4215
100,2301,1,23,2.1632e-05,11.4196
100,2400,1,24,0.000273749,11.0937
100,2401,1,24,0.0002684528,11.4111
100,2600,1,26,1.1032e-06,41.4132
100,2601,1,26,1.1026e-06,38.792
100,2700,1,27,2.04427e-05,36.212
100,2701,1,27,2.02609e-05,33.6468
100,2900,1,29,0.0002801145,26.2685
