zone_id,daily_before_floor,daily_after_floor,boost_factor
0,0.03586536361384961,1.0,27.88205386028331
1,0.01345204057902449,1.0,74.33816409677509
4,0.008469702718843262,1.0,118.0678983897765
5,0.05185568703217928,1.0,19.28428793893803
10,0.051822775502429225,1.0,19.29653497530491
11,0.021866301047004075,1.0,45.732471982819014
16,0.029652858641510942,1.0,33.72356143094087
17,0.8313550531531283,1.0,1.2028555022396776
18,0.16624138703587926,1.0,6.015349233005218
19,0.004218038786077405,1.0,237.0770044364521
24,0.11434813663371284,1.0,8.745223397940126
25,0.16488913530245297,1.0,6.064680963762223
27,0.44575406618237245,1.0,2.2433895187192023
28,0.024091357138700222,1.0,41.5086619754437
29,0.5013686810650236,1.0,1.9945402211318177
33,0.8900012160206678,1.0,1.1235939704342806
34,0.06906396027667523,1.0,14.47933185403686
35,0.03181269852527785,1.0,31.433988512650583
41,0.002272359702996342,1.0,440.0711730107677
42,0.09899649151557703,1.0,10.101368085783633
43,0.07343874863907682,1.0,13.616789753793533
44,0.3331321786619166,1.0,3.001811485208887
46,0.271203645039698,1.0,3.6872660758435707
50,0.02830158285857501,1.0,35.333712781969474
51,0.05275063662952229,1.0,18.957117181792313
58,0.13745197577350543,1.0,7.275268284595696
59,0.17770195948052347,1.0,5.627399961842301
61,0.4628029090254671,1.0,2.1607470059030507
66,0.11771751721922566,1.0,8.494912427839411
67,0.11363165785745204,1.0,8.800364430610298
68,0.31743041185881865,1.0,3.150296766287041
72,0.03462852322442905,1.0,28.87792798783113
73,0.6740775276319028,1.0,1.4835088828922889
75,0.09685781206292281,1.0,10.324412442337216
76,0.4359199526239945,1.0,2.293999148193513
80,0.7642140009081647,1.0,1.3085339954667614
82,0.15366232931498083,1.0,6.50777587752282
83,0.07886452472755866,1.0,12.679972439503677
84,0.19586124277912334,1.0,5.1056553395187025
86,0.5677414082689438,1.0,1.7613652719977255
87,0.471827860031261,1.0,2.11941702623017
91,0.0405797258551369,1.0,24.64284760251558
92,0.014794683202832275,1.0,67.59184946985287
94,0.06025619400297862,1.0,16.59580424131281
95,0.8104822934225684,1.0,1.2338332473336602
102,0.36219124006422015,1.0,2.7609723521272627
103,0.17142697202032087,1.0,5.8333877581496365
104,0.024448416860693017,1.0,40.902443937290336
105,0.058099593701185774,1.0,17.21182432261296
106,0.3295281212572912,1.0,3.034642373417391
110,0.0564360861568162,1.0,17.719159284386745
112,0.9070199707203154,1.0,1.1025115568357817
113,0.4607564432219175,1.0,2.1703440390487665
114,0.21808546129874828,1.0,4.585358391360771
115,0.12585814031051296,1.0,7.945453488608951
116,0.2057567514336787,1.0,4.860107836229757
122,0.43446225003599215,1.0,2.3016959469255545
123,0.853145308220269,1.0,1.1721332701062166
124,0.7356178589629043,1.0,1.3594014715872034
125,0.18813508146791608,1.0,5.315329773679326
126,0.2405336720564428,1.0,4.1574220833636275
127,0.28445384036495186,1.0,3.515508873836994
134,0.5006986180305565,1.0,1.9972094269670468
135,0.08711638892106567,1.0,11.478896363646099
136,0.10791400795107803,1.0,9.266637566212369
137,0.8189738406980852,1.0,1.2210402216847487
144,0.3027088003527765,1.0,3.3035048826945275
145,0.16173308475506268,1.0,6.183026815536562
147,0.5621785063319997,1.0,1.7787944375970872
154,0.38720726060146055,1.0,2.5825962004087173
155,0.5536475739123822,1.0,1.8062031644669603
164,0.9974781934262638,1.0,1.0025281821601273
173,0.5860755988164633,1.0,1.7062645194910462
174,0.20942534190950704,1.0,4.774971313796882
175,0.6700659690467337,1.0,1.4923903707908723
180,0.45826196628288624,1.0,2.182157965478413
181,0.5579020059867995,1.0,1.7924294755514125
184,0.9164019900125877,1.0,1.0912241689766125
186,0.1459737055878045,1.0,6.850548843527788
189,0.8846467739636922,1.0,1.1303946721237264
190,0.5574621623667005,1.0,1.793843721616027
192,0.7999298175745143,1.0,1.2501096696609248
193,0.20086369501115103,1.0,4.978500469905647
194,0.041332322531348005,1.0,24.194140052051562
195,0.02151590199197473,1.0,46.47725205166823
196,0.45650110632471963,1.0,2.1905751949890724
