zone_id,parent_zone_id,name,centroid_x,centroid_y,population_proxy,jobs_proxy,poi_count,zone_type,area_share
0,0,NIR1 refined SPb zone 0 / parent 0,0.0,14.581589573481585,413.18679948476625,2.000732142493243,2,mixed,0.5001830356233108
1,0,NIR1 refined SPb zone 1 / parent 0,0.03120761001521896,15.277146620267072,412.8843985714957,1.9992678575067573,2,mixed,0.4998169643766893
100,1,NIR1 refined SPb zone 100 / parent 1,0.07482740304099571,15.972372070251732,192.61145907725597,0.500183400433833,1,mixed,0.500183400433833
101,1,NIR1 refined SPb zone 101 / parent 1,0.1060697036843485,16.66793204774824,192.47021078662766,0.4998165995661671,1,mixed,0.4998165995661671
200,2,NIR1 refined SPb zone 200 / parent 2,0.5460006439494464,11.762929400126682,0.0,0.5001824049591231,1,inactive_or_water,0.5001824049591231
201,2,NIR1 refined SPb zone 201 / parent 2,0.5767001172189484,12.45849467505957,0.0,0.49981759504087686,1,inactive_or_water,0.49981759504087686
300,3,NIR1 refined SPb zone 300 / parent 3,0.6196986276523967,13.15373639664892,0.0,0.5001827676838333,1,inactive_or_water,0.5001827676838333
301,3,NIR1 refined SPb zone 301 / parent 3,0.6504323524012289,13.849304676197702,0.0,0.49981723231616665,1,inactive_or_water,0.49981723231616665
400,4,NIR1 refined SPb zone 400 / parent 4,0.6934339628036541,14.544550062309717,102.26124789131315,1.000366263188561,1,mixed,0.5001831315942805
401,4,NIR1 refined SPb zone 401 / parent 4,0.7242019152335124,15.240121342493222,102.18636625626175,0.9996337368114389,1,mixed,0.49981686840571943
500,5,NIR1 refined SPb zone 500 / parent 5,0.7672065933103731,15.93537039043801,598.8439405355413,8.002935947141465,8,mixed,0.5001834966963415
501,5,NIR1 refined SPb zone 501 / parent 5,0.7980087494822073,16.630944667269475,598.4045582470884,7.997064052858535,8,mixed,0.49981650330365845
600,6,NIR1 refined SPb zone 600 / parent 6,1.168953808506849,10.335504175050184,0.0,0.5001821384917909,1,inactive_or_water,0.5001821384917909
601,6,NIR1 refined SPb zone 601 / parent 6,1.1991808127713302,11.031080276390771,0.0,0.4998178615082091,1,inactive_or_water,0.4998178615082091
700,7,NIR1 refined SPb zone 700 / parent 7,1.2415612239404,11.726341453230473,0.0,0.5001825003293523,1,inactive_or_water,0.5001825003293523
701,7,NIR1 refined SPb zone 701 / parent 7,1.2718220153538422,12.421920628278516,0.0,0.49981749967064765,1,inactive_or_water,0.49981749967064765
800,8,NIR1 refined SPb zone 800 / parent 8,1.314205517881448,13.117185518617276,0.0,0.5001828633464583,1,inactive_or_water,0.5001828633464583
801,8,NIR1 refined SPb zone 801 / parent 8,1.3445000731257024,13.812767763361334,0.0,0.4998171366535417,1,inactive_or_water,0.4998171366535417
900,9,NIR1 refined SPb zone 900 / parent 9,1.3868866350690952,14.508036364450586,0.0,0.5001832275488358,1,inactive_or_water,0.5001832275488358
901,9,NIR1 refined SPb zone 901 / parent 9,1.4172149306872888,15.203621674871306,0.0,0.49981677245116424,1,inactive_or_water,0.49981677245116424
1000,10,NIR1 refined SPb zone 1000 / parent 10,1.4596045202123642,15.898893983946648,475.6758591220361,2.500917964713664,3,mixed,0.5001835929427327
1001,10,NIR1 refined SPb zone 1001 / parent 10,1.4899665326089016,16.59448235601885,475.32666441835,2.499082035286336,2,mixed,0.4998164070572672
1100,11,NIR1 refined SPb zone 1100 / parent 11,1.7940680294995837,8.908539883831283,143.56600586311933,0.5001818725968886,1,mixed,0.5001818725968886
1101,11,NIR1 refined SPb zone 1101 / parent 11,1.8238235189653205,9.604126477929531,143.46160095065946,0.4998181274031114,1,mixed,0.4998181274031114
1200,12,NIR1 refined SPb zone 1200 / parent 12,1.8655859079803923,10.299406680501532,0.0,0.5001822335534656,1,inactive_or_water,0.5001822335534656
1201,12,NIR1 refined SPb zone 1201 / parent 12,1.8953747193729795,10.994996416533134,0.0,0.4998177664465344,1,inactive_or_water,0.4998177664465344
1300,13,NIR1 refined SPb zone 1300 / parent 13,1.9371401901573846,11.690280381056713,0.0,0.5001825956836441,1,inactive_or_water,0.5001825956836441
