zone_id,name,centroid_x,centroid_y,population_proxy,jobs_proxy,poi_count,zone_type
101,NIR1 full SPb zone 101,8.768951003433045,8.576204485817113,0.0,1.0,1,inactive_or_water
102,NIR1 full SPb zone 102,8.829958490783392,9.967406708041905,1804.6049647177429,49.0,49,mixed
103,NIR1 full SPb zone 103,8.89099705931259,11.358616842578165,1187.1875034836405,3.0,3,mixed
104,NIR1 full SPb zone 104,8.952066662541881,12.749834881546441,164.1969413644615,4.0,4,mixed
105,NIR1 full SPb zone 105,9.013167253966618,14.141060817042831,541.593219994161,1.0,1,mixed
106,NIR1 full SPb zone 106,9.167286187032325,1.5898396422839725,2352.064787761926,3.0,3,mixed
107,NIR1 full SPb zone 107,9.227087676917654,2.981032202324597,9971.987728981569,33.0,33,residential
108,NIR1 full SPb zone 108,9.286919943725705,4.3722328064963225,41000.917902919726,337.0,337,mixed
109,NIR1 full SPb zone 109,9.34678294190645,5.763441446949262,81344.87563933838,715.0,715,mixed
110,NIR1 full SPb zone 110,9.406676625884792,7.154658115811646,184.4250727547356,2.0,2,mixed
111,NIR1 full SPb zone 111,9.46660095005983,8.545882805183762,0.0,1.0,1,inactive_or_water
112,NIR1 full SPb zone 112,9.526555868805401,9.937115507144016,2219.2124724145124,170.0,170,mixed
113,NIR1 full SPb zone 113,9.586541336469818,11.328356213744032,1579.1535496168713,13.0,13,mixed
114,NIR1 full SPb zone 114,9.646557307376046,12.719604917011223,1494.881449841609,58.0,58,mixed
115,NIR1 full SPb zone 115,9.706603735821817,14.110861608949257,1297.7230466836209,1.0,1,mixed
116,NIR1 full SPb zone 116,9.81148464191248,0.16868337050988338,1725.6399593303856,1.0,1,mixed
117,NIR1 full SPb zone 117,9.987739452738097,4.342349519716809,70552.50959879998,312.0,312,mixed
118,NIR1 full SPb zone 118,10.046551507431476,5.733587834773353,165831.41573449067,912.0,912,mixed
119,NIR1 full SPb zone 119,10.10539371306292,7.124834269238403,2594.982125851126,58.0,58,mixed
120,NIR1 full SPb zone 120,10.16426602483225,8.516088815124007,58826.15314776399,350.0,350,mixed
121,NIR1 full SPb zone 121,10.223168397914211,9.907351464416132,98961.25145196712,1052.0,1052,mixed
122,NIR1 full SPb zone 122,10.282100787458635,11.298622209076072,1325.4173636632322,131.0,131,mixed
123,NIR1 full SPb zone 123,10.341063148590372,12.689901041039498,3712.797368053723,31.0,31,mixed
124,NIR1 full SPb zone 124,10.40005543640924,14.08118795221788,4848.769341573016,1.0,1,mixed
125,NIR1 full SPb zone 125,10.515468486516708,0.13924244595994242,1606.210376620597,15.0,15,mixed
126,NIR1 full SPb zone 126,10.573140509435587,1.53048523352365,1661.1289690014507,7.0,7,mixed
127,NIR1 full SPb zone 127,10.630842280091048,2.9217362539710012,1318.840916257447,4.0,4,mixed
128,NIR1 full SPb zone 128,10.688573754557758,4.312995499300305,8153.15494304177,95.0,95,mixed
129,NIR1 full SPb zone 129,10.74633488888519,5.70426296148519,202024.81996114855,1639.0,1639,mixed
130,NIR1 full SPb zone 130,10.804125639098405,7.095538632472744,67045.73913914958,1081.0,1081,mixed
131,NIR1 full SPb zone 131,10.861945961197794,8.486822504185373,125509.6072069594,1751.0,1751,mixed
132,NIR1 full SPb zone 132,10.919795811159055,9.878114568520804,246984.13648254,2014.0,2014,mixed
133,NIR1 full SPb zone 133,10.977675144933427,11.269414817350684,11695.35364018072,443.0,443,mixed
134,NIR1 full SPb zone 134,11.035583918447548,12.66072324252082,2047.7533271783077,109.0,109,mixed
135,NIR1 full SPb zone 135,11.219466789374957,0.1103323486119043,686.5590387307183,1.0,1,mixed
136,NIR1 full SPb zone 136,11.2760895251646,1.5016034920571837,672.5499153127988,10.0,10,mixed
137,NIR1 full SPb zone 137,11.332741471050307,2.8928829564340415,3104.1722917715992,80.0,80,mixed
138,NIR1 full SPb zone 138,11.389422583905485,4.284170733654406,31773.35359333655,329.0,329,mixed
139,NIR1 full SPb zone 139,11.446132820579617,5.675466815605061,136561.0777493046,1690.0,1690,mixed
140,NIR1 full SPb zone 140,11.502872137897837,7.066771194146946,161207.57789066923,4844.0,4844,mixed
141,NIR1 full SPb zone 141,11.559640492660968,8.458083861114924,143345.0266774552,4216.0,4216,mixed
142,NIR1 full SPb zone 142,11.61643784164585,9.849404808317777,192270.04080661,2003.0,2003,mixed
143,NIR1 full SPb zone 143,11.673264141604959,11.240734027540777,92560.48715877465,866.0,866,mixed
144,NIR1 full SPb zone 144,11.730119349266795,12.632071510541486,827.5587572561367,7.0,7,mixed
145,NIR1 full SPb zone 145,11.923479286512928,0.08195306674367749,1224.5069543651248,1.0,1,mixed
146,NIR1 full SPb zone 146,11.979052758034872,1.4732520436497871,7368.00242103602,64.0,64,mixed
147,NIR1 full SPb zone 147,12.034654901825997,2.8645594279235227,2323.471766141481,89.0,89,mixed
148,NIR1 full SPb zone 148,12.09028567555915,4.255875211393228,44571.5083754509,809.0,809,mixed
149,NIR1 full SPb zone 149,12.145945036883495,5.64719938585977,141462.87902057293,1680.0,1680,mixed
150,NIR1 full SPb zone 150,12.20163294342412,7.038531943098874,154357.1844463601,4805.0,4805,mixed
151,NIR1 full SPb zone 151,12.257349352782606,8.429872874859953,174267.0641580307,3740.0,3740,mixed
152,NIR1 full SPb zone 152,12.313094222536485,9.82122217286611,156443.47850666475,1509.0,1509,mixed
153,NIR1 full SPb zone 153,12.368867510239797,11.212579828815535,200138.4040199196,2448.0,2448,mixed
154,NIR1 full SPb zone 154,12.424669173422867,12.60394583438011,1895.414875379597,37.0,37,mixed
155,NIR1 full SPb zone 155,12.627505714013022,0.05410458884714171,4794.438862972417,17.0,17,mixed
156,NIR1 full SPb zone 156,12.682029943708782,1.4454308769025375,59798.47880811533,714.0,714,mixed
157,NIR1 full SPb zone 157,12.736582307664488,2.8367656571515836,15538.261053059316,109.0,109,mixed
158,NIR1 full SPb zone 158,12.791162764352354,4.22810892133764,66288.32944362708,823.0,823,mixed
159,NIR1 full SPb zone 159,12.845771272220926,5.619460661179851,244481.25596695693,1611.0,1611,mixed
160,NIR1 full SPb zone 160,12.90040778969563,7.0108208683691915,88642.89901417778,1262.0,1262,mixed
161,NIR1 full SPb zone 161,12.955072275178406,8.40218953457079,123278.60993778936,1605.0,1605,mixed
162,NIR1 full SPb zone 162,13.009764687047806,9.793566651424161,200159.01895550196,1398.0,1398,mixed
163,NIR1 full SPb zone 163,13.064484983659263,11.184952210541582,137944.2855803421,785.0,785,mixed
164,NIR1 full SPb zone 164,13.331545808012786,0.026786903626052662,7000.35730315321,54.0,54,mixed
165,NIR1 full SPb zone 165,13.385020817904064,1.4181399806290864,20455.03266301011,290.0,290,mixed
166,NIR1 full SPb zone 166,13.438523423867082,2.8095016330389773,8730.03763731609,221.0,221,mixed
167,NIR1 full SPb zone 167,13.49205358517314,4.200871852517826,5548.607418162999,117.0,117,mixed
168,NIR1 full SPb zone 168,13.545611261070633,5.592250630701892,96437.95553030718,908.0,908,mixed
169,NIR1 full SPb zone 169,13.599196410784833,6.983637959200423,169702.30157424597,1571.0,1571,mixed
170,NIR1 full SPb zone 170,13.65280899351828,8.375033829597058,91940.0866897354,887.0,887,mixed
171,NIR1 full SPb zone 171,13.70644896845054,9.76643823344726,30041.981810980516,403.0,403,mixed
172,NIR1 full SPb zone 172,13.760116294738138,11.157851162281586,48066.81889697636,95.0,95,mixed
173,NIR1 full SPb zone 173,14.03559930470417,0.0,4840.184724119492,2.0,2,mixed
174,NIR1 full SPb zone 174,14.088025116392629,1.3913793438540305,983.6130435825943,6.0,6,mixed
175,NIR1 full SPb zone 175,14.14047798578885,2.7827673447155394,3497.2404768676306,121.0,121,mixed
176,NIR1 full SPb zone 176,14.19295787296364,4.174163994167931,21433.637756593496,176.0,176,mixed
177,NIR1 full SPb zone 177,14.245464737964692,5.565569283766206,63670.42480237287,376.0,376,mixed
178,NIR1 full SPb zone 178,14.297998540817614,6.956983205039752,127690.73219730906,720.0,720,mixed
179,NIR1 full SPb zone 179,14.350559241525247,8.348405749489785,97203.6543812414,980.0,980,mixed
180,NIR1 full SPb zone 180,14.403146800068019,9.739836908592377,1224.6250896726222,108.0,108,mixed
181,NIR1 full SPb zone 181,14.791042574999098,1.3651489558115135,3131.465477257768,16.0,16,mixed
182,NIR1 full SPb zone 182,14.84244572883786,2.756562781521119,64177.838172791424,190.0,190,mixed
183,NIR1 full SPb zone 183,14.893875362718187,4.147985335731414,32665.879639065573,203.0,203,mixed
184,NIR1 full SPb zone 184,14.945331437487722,5.539416609919863,2997.45673681577,2.0,2,mixed
185,NIR1 full SPb zone 185,15.048322752974098,8.322305284002097,3595.776306124015,15.0,15,mixed
186,NIR1 full SPb zone 186,15.099857915275672,9.71376266671461,568.678191811274,4.0,4,mixed
187,NIR1 full SPb zone 187,15.494072929600604,1.3394488059501164,10783.112659646691,61.0,61,mixed
188,NIR1 full SPb zone 188,15.544426388473745,2.730887933003949,76117.63259907003,774.0,774,mixed
189,NIR1 full SPb zone 189,15.594805789483086,4.12233586685895,4134.775313342223,52.0,52,mixed
190,NIR1 full SPb zone 190,16.197115916124776,1.3142788839275017,3679.8849283971313,1.0,1,mixed
191,NIR1 full SPb zone 191,16.246419700207262,2.705742788924137,5241.218065844479,46.0,46,residential
192,NIR1 full SPb zone 192,16.295748888355053,4.097215577408671,3979.853803810184,11.0,11,mixed
193,NIR1 full SPb zone 193,16.900171270549574,1.2896391796155366,2199.719911230861,1.0,1,mixed
194,NIR1 full SPb zone 194,16.948425399598563,2.6811273392485453,546.6928167213895,15.0,15,mixed
195,NIR1 full SPb zone 195,16.996704394480474,4.072624457446626,187.42223676925107,1.0,1,mixed
196,NIR1 full SPb zone 196,17.65044322225696,2.657041574155679,3822.6209983495637,4.0,4,mixed
